,type,seed,difficulty,open_lstm_m,input_lstm_m,last_value_loss,entropy
321,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,322,33,0.07976072281599045,0.010447289794683456,0.0024276794865727425,2.112203503808244
322,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,323,33,0.007145632989704609,0.00659357663244009,0.002725241705775261,2.2994653504260922
323,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,324,33,0.0011314121074974537,0.000737855676561594,0.001436074380762875,1.9798651452330764
324,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,325,33,0.021991625428199768,0.030717993155121803,0.004624978173524141,2.8606653997902516
325,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,326,33,0.00928397849202156,0.005451902747154236,0.0025226480793207884,2.4946203273224588
326,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,327,33,0.023496679961681366,0.007225805893540382,0.0007328933570533991,1.8861234274175098
327,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,328,33,0.006140913814306259,0.0041551124304533005,0.0040589882992208,2.3629082093176463
328,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,329,33,0.009335986338555813,0.0029753295239061117,0.000561410270165652,2.041527139604216
329,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,330,33,0.008915206417441368,0.0044947131536901,0.003220926271751523,2.2909922407609677
330,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,331,34,0.02228732593357563,0.03436766937375069,0.005290585570037365,2.5925681005201326
